kekse-	O	O
paljoa	O	O
paremmat	O	O
,	O	O
ja	O	O
miten	O	O
nykyajan	O	O
ihmiset	O	O
eivät	O	O
missään	O	O
suhteessa	O	O
voi	O	O
entisaikuisille	O	O
vertoja	O	O
vetää	O	O
.	O	O
Tällaiset	O	O
puheet	O	O
todistavat	O	O
vain	O	O
ihmisen	O	O
onnellista	O	O
kykyä	O	O
voida	O	O
unhottaa	O	O
epäsuotuisat	O	O
menneet	O	O
olosuhteet	O	O
ja	O	O
säilyttää	O	O
muistissa	O	O
vain	O	O
paremmat	O	O
ja	O	O
valoisammat	O	O
.	O	O
Ja	O	O
tällaisen	O	O
,	O	O
meille	O	O
ihmisille	O	O
niin	O	O
tavallisen	O	O
olevien	O	O
olojen	O	O
arvostelun	O	O
luulen	O	O
useinkin	O	O
aiheuttavan	O	O
edellämainitun	O	O
,	O	O
meidän	O	O
nykyaikaisten	O	O
itserakkautta	O	O
niin	O	O
perin	O	O
vähän	O	O
imartelevan	O	O
väitteen	O	O
.	O	O
Jääköön	O	O
tämänkaltainen	O	O
pintapuolinen	O	O
arvostelu	O	O
omaan	O	O
arvoonsa	O	O
,	O	O
mutta	O	O
katsokaamme	O	O
voitaisiinko	O	O
edellämainittu	O	O
luulotellusti	O	O
asiallinen	O	O
kritiikki	O	O
vastaväitteillä	O	O
kumota	O	O
.	O	O
Ammattitaitokäsitteessä	O	O
erotamme	O	O
kaksi	O	O
puolta	O	O
:	O	O
ammattitieto	O	O
,	O	O
teoriia	O	O
ja	O	O
ammattikätevyys	O	O
,	O	O
praktiikka	O	O
.	O	O
Molemmat	O	O
ovat	O	O
ne	O	O
yhden	O	O
arvoiset	O	O
,	O	O
ja	O	O
vasta	O	O
se	O	O
,	O	O
joka	O	O
molempia	O	O
tasapuolisesti	O	O
ja	O	O
mahdollisimman	O	O
korkealle	O	O
kehittää	O	O
,	O	O
on	O	O
täydelleen	O	O
ammattitaitoinen	O	O
,	O	O
Niin	O	O
on	O	O
kaikilla	O	O
aloilla	O	O
,	O	O
niinpä	O	O
farmaseuttisessakin	O	O
työssä	O	O
.	O	O
Että	O	O
ennen	O	O
apteekeissa	O	O
kehitettiin	O	O
yksipuolisesti	O	O
ammattikätevyyttä	O	O
,	O	O
sen	O	O
täytyy	O	O
myöntää	O	O
jokaisen	O	O
,	O	O
joka	O	O
asiaa	O	O
puolueettomasti	O	O
ajattelee	O	O
.	O	O
Jo	O	O
lyhyt	O	O
silmäys	O	O
vanhoihin	O	O
,	O	O
farmaseuttista	O	O
opetusta	O	O
koskeviin	O	O
asetuksiin	O	O
näyttää	O	O
miten	O	O
pitkän	O	O
askeleen	O	O
tietopuolinen	O	O
ammattiopetus	O	O
viime	O	O
vuosikymmenien	O	O
kuluessa	O	O
on	O	O
astunut	O	O
eteenpäin	O	O
.	O	O
Olisivatko	O	O
sitte	O	O
koko	O	O
tämän	O	O
opetuksen	O	O
tulokset	O	O
turhia	O	O
,	O	O
eivätkö	O	O
ne	O	O
edistystä	O	O
todista	O	O
?	O	O
Tai	O	O
,	O	O
toisin	O	O
kysyen	O	O
,	O	O
olisiko	O	O
kukaan	O	O
ammattimme	O	O
harjoittaja	O	O
valmis	O	O
palaamaan	O	O
takaisin	O	O
esim	O	O
.	O	O
30	O	O
vuotta	O	O
sitten	O	O
vallinneeseen	O	O
asiaintilaan	O	O
?	O	O
Voiko	O	O
todenteolla	O	O
kukaan	O	O
väittää	O	O
,	O	O
että	O	O
14	O	O
16	O	O
vuotias	O	O
oppilas	O	O
,	O	O
jonka	O	O
alkutiedot	O	O
usein	O	O
olivat	O	O
mitättömän	O	O
pienet	O	O
,	O	O
olisi	O	O
tarkemmin	O	O
ja	O	O
perusteellisemmin	O	O
voinut	O	O
oppia	O	O
ammattinsa	O	O
perusteet	O	O
kuin	O	O
17	O	O
19	O	O
vuotias	O	O
,	O	O
vähintäin	O	O
5	O	O
lyseon	O	O
luokkaa	O	O
käynyt	O	O
henkilö	O	O
?	O	O
Tahi	O	O
että	O	O
farmaseutti-	O	O
ja	O	O
proviisoritutkinnot	O	O
,	O	O
jotka	O	O
hyvinkin	O	O
vaihtelevien	O	O
vaatimusten	O	O
mukaan	O	O
suoritettiin	O	O
,	O	O
valmistivat	O	O
tulevan	O	O
apteekkarin	O	O
parempaan	O	O
ammatin	O	O
ymmärtämykseen	O	O
kuin	O	O
nykyiset	O	O
perusteellisemmat	O	O
luvut	O	O
ja	O	O
vuosikausia	O	O
kestävät	O	O
käy-	O	O
14	O	O

kieltolaki	O	O
.	O	O
Woi	O	O
,	O	O
woi	O	O
sentään	O	O
miten	O	O
paljon	O	O
osaawat	O	O
tuommoisestakin	O	O
asiasta	O	O
kirjoittaa	O	O
,	O	O
tuumaili	O	O
Kaisa	B-PER	O
.	O	O
Ja	O	O
kyllähän	O	O
se	O	O
sentään	O	O
minunkin	O	O
päähäni	O	O
mahtuu	O	O
,	O	O
kun	O	O
asiaa	O	O
oikein	O	O
ajattelen	O	O
,	O	O
että	O	O
on	O	O
siinä	O	O
paljon	O	O
perääkin	O	O
.	O	O
Mutta	O	O
eikös	O	O
se	O	O
ensin	O	O
ole	O	O
waikea	O	O
sellaista	O	O
alkaa	O	O
?	O	O
Totta	O	O
puhuen	O	O
,	O	O
wastasi	O	O
Maija	B-PER	O
,	O	O
tahtoi	O	O
alku	O	O
wähän	O	O
oudolta	O	O
tuntua	O	O
,	O	O
mutta	O	O
nyt	O	O
kun	O	O
siihen	O	O
kerran	O	O
on	O	O
tottunut	O	O
,	O	O
ei	O	O
woisi	O	O
sitä	O	O
ilman	O	O
ollakaan	O	O
.	O	O
Eikä	O	O
se	O	O
niin	O	O
waikea	O	O
ole	O	O
,	O	O
kuin	O	O
se	O	O
ensi	O	O
silmäykseltä	O	O
näyttää	O	O
.	O	O
Entäs	O	O
mikä	O	O
hyöty	O	O
siitä	O	O
sitten	O	O
on	O	O
?	O	O
Koeta	O	O
waan	O	O
sinäkin	O	O
Kaisa	B-PER	O
tuota	O	O
uutta	O	O
konstia	O	O
!	O	O
Niinpä	O	O
teenkin	O	O
!	O	O
sanoi	O	O
Kaisa	B-PER	O
-	O	O
ja	O	O
samaa	O	O
toiwomme	O	O
tekewän	O	O
omaksi	O	O
hyödykseen	O	O
kaikkien	O	O
niiden	O	O
lukijoiden	O	O
,	O	O
jotka	O	O
wielä	O	O
eiwät	O	O
ole	O	O
kaikkea	O	O
sitä	O	O
ottaneet	O	O
tawakseen	O	O
,	O	O
mistä	O	O
edellä	O	O
on	O	O
ollut	O	O
puhe	O	O
.	O	O
Kukapa	O	O
ei	O	O
tahtoisi	O	O
omaa	O	O
etuaan	O	O
walwoa	O	O
?	O	O
Siis	O	O
toimeen	O	O
waan	O	O
ja	O	O
wiipymättä	O	O
!	O	O
Wanha	O	O
omenapuu	O	O
.	O	O
Eemil	B-PER	O
Mn	O	O
.	O	O
Tehtyäni	O	O
tuttawuutta	O	O
towerini	O	O
Pihlajaisen	B-PER	O
kanssa	O	O
aloin	O	O
käydä	O	O
hänen	O	O
luonaan	O	O
.	O	O
Jo	O	O
ensi	O	O
kerralla	O	O
sattui	O	O
silmääni	O	O
,	O	O
että	O	O
hänellä	O	O
oli	O	O
kaunis	O	O
,	O	O
lehtewä	O	O
puutarha	O	O
ikkunainsa	O	O
alla	O	O
.	O	O
Kun	O	O
häntä	O	O
siitä	O	O
huomautin	O	O
,	O	O
sanoi	O	O
hän	O	O
:	O	O
Se	O	O
on	O	O
jäänyt	O	O
aiwan	O	O
hoidotta	O	O
.	O	O
Ennen	O	O
aikaan	O	O
,	O	O
kun	O	O
äiti	O	O
oli	O	O
nuori	O	O
ja	O	O
talo	O	O
lapsia	O	O
täynnä	O	O
,	O	O
oli	O	O
se	O	O
kaunis	O	O
.	O	O
Silloin	O	O
saimme	O	O
siitä	O	O
paljon	O	O
ja	O	O
hywiä	O	O
omeniakin	O	O
,	O	O
mutta	O	O
nyt	O	O
kun	O	O
äiti	O	O
on	O	O
wanha	O	O
,	O	O
lapset	O	O
lentäneet	O	O
pesästä	O	O
pois	O	O
ja	O	O
minä	O	O
en	O	O
näitä	O	O
asioita	O	O
ymmärrä	O	O
,	O	O
on	O	O
puutarha	O	O
kokonaan	O	O
metsittynyt	O	O
.	O	O
Lähdetään	O	O
katsomaan	O	O
,	O	O
ehdottelin	O	O
minä	O	O
.	O	O
Ei	O	O
siinä	O	O
mitään	O	O
katsomista	O	O
.	O	O
Omenapuukin	O	O
on	O	O
jo	O	O
tainnut	O	O
yli-ikäiseksi	O	O
käydä	O	O
,	O	O
ei	O	O
ole	O	O
moneen	O	O
wuoteen	O	O
edes	O	O
kukkinutkaan	O	O
.	O	O
Minä	O	O
sen	O	O
jo	O	O
olisin	O	O
hakkuuttanut	O	O
pois	O	O
,	O	O
mutta	O	O
äiti	O	O
ei	O	O
ole	O	O
antanut	O	O
.	O	O
Sanoo	O	O
siihen	O	O
liittywän	O	O
hänelle	O	O
rakkaita	O	O
muistoja	O	O
ja	O	O
tuuhean	O	O
lehtewyytensä	O	O
wuoksi	O	O
kaunistawan	O	O
paikkaansa	O	O
,	O	O
muuten	O	O
se	O	O
hänestäkin	O	O
joutaisi	O	O
häwitettäwäksi	O	O
.	O	O
Siihen	O	O
en	O	O
asiaa	O	O
jättänyt	O	O
,	O	O
waan	O	O
seuraawalla	O	O
kerralla	O	O
menin	O	O
sittenkin	O	O
omenapuuta	O	O
tutkimaan	O	O
.	O	O
Maa	O	O
sen	O	O
ympärillä	O	O
oli	O	O
kowaa	O	O
ja	O	O
laihaa	O	O
,	O	O
wahwan	O	O
heinän	O	O
peittämää	O	O
:	O	O
siinä	O	O
kaswoi	O	O
wankkana	O	O
putkea	O	O
,	O	O
ja	O	O
kaikenlaista	O	O
puutarharikkaruohoa	O	O
.	O	O
Puu	O	O
seisoi	O	O
toisten	O	O
suurten	O	O
puitten	O	O
warjostamana	O	O
.	O	O
Tarkemmin	O	O
katsoen	O	O
huomasi	O	O
siinä	O	O
paljo	O	O
kuiwia	O	O
oksia	O	O
,	O	O
waikka	O	O
ne	O	O
enimmäkseen	O	O
oliwat	O	O
latwuksen	O	O
sisäosissa	O	O
.	O	O
Muuten	O	O

Zngelow	B-LOC	O
.	O	O
Miten	O	O
woi	O	O
hewosen	O	O
warjella	O	O
ähkyyn	O	O
sairastumasta	O	O
?	O	O
Ähky	O	O
on	O	O
,	O	O
kuten	O	O
useimmat	O	O
maamiehet	O	O
warmaankin	O	O
kokemuksesta	O	O
tietäwät	O	O
,	O	O
yksi	O	O
niitä	O	O
tauteja	O	O
,	O	O
johon	O	O
hewoset	O	O
useimmiten	O	O
sairastuwat	O	O
.	O	O
Joskin	O	O
sen	O	O
kyllä	O	O
woi	O	O
hywällä	O	O
